PACFIN_PORT_CODE,IOPAC_PORT_GROUP
OWC,SOUTH AND CENTRAL WA COAST
BRG,FORT BRAGG
ORF,BROOKINGS
COS,COOS BAY
BRK,BROOKINGS
AST,ASTORIA
NEW,NEWPORT
TLL,TILLAMOOK
PCC,TILLAMOOK
TRM,LOS ANGELES
AVL,MORRO
VEN,SANTA BARBARA
HNM,SANTA BARBARA
ARE,FORT BRAGG
BDG,BODEGA BAY
WIN,COOS BAY
MNT,MONTEREY
ERK,EUREKA
MRO,MORRO
OXN,SANTA BARBARA
OCN,SAN DIEGO
PRN,SAN FRANCISCO
OSD,SAN DIEGO
MOS,MONTEREY
SB,SANTA BARBARA
OHB,EUREKA
SF,SAN FRANCISCO
CRS,CRESCENT CITY
CRZ,MONTEREY
SP,LOS ANGELES
BOL,BODEGA BAY
TRN,EUREKA
FLN,EUREKA
OSF,SAN FRANCISCO
SD,SAN DIEGO
OLA,LOS ANGELES
DNA,LOS ANGELES
LGB,LOS ANGELES
ALB,FORT BRAGG
SRV,NEWPORT
BDN,COOS BAY
NWB,LOS ANGELES
ALM,SAN FRANCISCO
BKL,SAN FRANCISCO
RCH,SAN FRANCISCO
SLT,BODEGA BAY
OCA,
OBV,SANTA BARBARA
OSM,BODEGA BAY
OMD,FORT BRAGG
OAK,SAN FRANCISCO
TML,BODEGA BAY
WLM,LOS ANGELES
SIM,
BCR,
OCM,MONTEREY
MCR,
CRV,ASTORIA
DPO,NEWPORT
NTR,TILLAMOOK
GSS,ASTORIA
GLD,BROOKINGS
WLD,NEWPORT
FLR,COOS BAY
NHL,TILLAMOOK
CNB,ASTORIA
SLZ,NEWPORT
SLK,
WPT,SOUTH AND CENTRAL WA COAST
NEA,NORTH WA COAST
LWC,SOUTH AND CENTRAL WA COAST
LAP,NORTH WA COAST
BLL,PUGET SOUND
PAG,NORTH WA COAST
WLB,SOUTH AND CENTRAL WA COAST
OWA,
TAC,PUGET SOUND
SHL,PUGET SOUND
LAC,PUGET SOUND
EVR,PUGET SOUND
OSP,PUGET SOUND
OLY,PUGET SOUND
SEA,PUGET SOUND
SEQ,NORTH WA COAST
TNS,NORTH WA COAST
ANA,PUGET SOUND
OCR,SOUTH AND CENTRAL WA COAST
ONP,PUGET SOUND
BLN,PUGET SOUND
FRI,PUGET SOUND
GRH,SOUTH AND CENTRAL WA COAST
CPL,SOUTH AND CENTRAL WA COAST
ODN,CRESCENT CITY
RYS,BODEGA BAY
YAC,
OSL,MORRO
OOR,
